rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId,timestamp
13,397. 종묘공영주차장 건너편,0,0,37.57048035,126.99663544,ST-1432,2024-05-09 23:45:26
8,398. 을지로3가역 3번출구,0,0,37.56655884,126.99243927,ST-1435,2024-05-09 23:45:26
15,399. 서울역 센트럴 자이아파트,5,33,37.55410767,126.96540833,ST-1436,2024-05-09 23:45:26
14,400. 상암한화오벨리스크 1차 앞,18,129,37.58752441,126.88300323,ST-110,2024-05-09 23:45:26
13,401. 상암월드컵파크 10단지 앞,10,77,37.58618927,126.88161469,ST-76,2024-05-09 23:45:26
20,402. 상암월드컵파크 9단지 앞,13,65,37.58292770,126.87983704,ST-77,2024-05-09 23:45:26
20,403. 부엉이공원 앞,0,0,37.58559036,126.88472748,ST-78,2024-05-09 23:45:26
8,405. DMC빌 앞,0,0,37.58265686,126.88578796,ST-80,2024-05-09 23:45:26
15,406. 상암월드컵파크 7단지 앞,18,120,37.58111191,126.88087463,ST-81,2024-05-09 23:45:26
8,407. 마포구 육아종합지원센터,17,213,37.58063126,126.88367462,ST-83,2024-05-09 23:45:26
14,408. LG CNS앞,1,7,37.58081055,126.88665009,ST-84,2024-05-09 23:45:26
30,409. 누리꿈스퀘어 옆,0,0,37.57939911,126.88916016,ST-86,2024-05-09 23:45:26
10,410. 상암중학교 옆,3,30,37.57739258,126.88747406,ST-88,2024-05-09 23:45:26
10,411. DMC홍보관,2,20,37.57799530,126.89147186,ST-90,2024-05-09 23:45:26
21,412. DMC산학협력연구센터 앞,2,10,37.57565689,126.89079285,ST-91,2024-05-09 23:45:26
10,413. 상암월드컵파크 3단지 후문,4,40,37.57147598,126.88968658,ST-92,2024-05-09 23:45:26
8,414. 상암동주민센터 옆,2,25,37.57822037,126.89447021,ST-94,2024-05-09 23:45:26
10,415. DMC역 9번출구 앞,1,10,37.57746887,126.89736176,ST-95,2024-05-09 23:45:26
12,416. 상암월드컵파크 1단지 교차로,0,0,37.57566452,126.89444733,ST-96,2024-05-09 23:45:26
20,417. DMC역 2번출구 옆,3,15,37.57506943,126.89991760,ST-93,2024-05-09 23:45:26
20,418. 월드컵경기장역 3번출구 옆,1,5,37.57048035,126.89889526,ST-89,2024-05-09 23:45:26
